product_id,product_code,product_description,similarity,usda_code,is_correct
item_7612,41230,ground beef fine 73%,0.9459022879600525,Ground beef 73%,False
item_7604,45080,ground beef 93% - 93%,0.9246402978897095,Ground beef 73%,False
item_7615,42210,ground beef fine 75%,0.9204242825508118,Ground beef 73%,False
item_7616,42300,ground beef fine 80%,0.902485728263855,Ground beef 73%,False
item_7579,19163740,"ground beef 73%, excel",0.8844951391220093,Ground beef 73%,False
item_7600,19133660,"ground beef 85%, (40/1#) caviness",0.8795344233512878,Ground beef 73%,False
item_7596,19121070,ground beef 81% fine cs beef (80#),0.8758398294448853,Ground beef 73%,False
item_7613,41238,ground beef fine 73% 12/3#,0.8676058053970337,Ground beef 73%,False
item_1003,18260003,beef ground 90% frz,0.8637052774429321,Ground beef 73%,False
item_7610,42370,ground beef coarse 80%,0.8615385890007019,Ground beef 73%,False
item_7598,45090,ground beef 81% fresh,0.8606870770454407,Ground beef 73%,False
item_7595,19111070,ground beef 81% fine cs beef (40#),0.8602093458175659,Ground beef 73%,False
item_7639,19241050,"ground beef, 73%, afg (8/10#)",0.8568117618560791,Ground beef 73%,False
item_7577,19251870,ground beef 73% fine 8/10# all american,0.8441221714019775,Ground beef 73%,False
item_7597,19125610,ground beef 81% fine showcase beef (60#),0.8403383493423462,Ground beef 73%,False
item_7574,19271870,ground beef 73% fine 6/10# all american,0.8401913642883301,Ground beef 73%,False
item_7659,45230,ground natural beef 85% //ibp//,0.838312566280365,Ground beef 73%,False
item_7582,19115590,ground beef 80% fine all american meats,0.8287491798400879,Ground beef 73%,False
item_7578,19161870,ground beef 73% fine 8/10# nebraska,0.8278411030769348,Ground beef 73%,False
item_7642,19001050,"ground beef, 81%, afg (8/10#)",0.8256794810295105,Ground beef 73%,False
item_7572,19161010,ground beef 73% fine - ibp,0.8254927396774292,Ground beef 73%,False
item_7573,19161012,ground beef 73% fine 6/10 ibp(c-angus),0.8252443075180054,Ground beef 73%,False
item_7638,19141020,"ground beef, 73% fat 27% lean national",0.8251920342445374,Ground beef 73%,False
item_7576,19163660,ground beef 73% fine 8-10lb caviness,0.8211839199066162,Ground beef 73%,False
item_7575,19261870,ground beef 73% fine 6/10# nebraska,0.8210512399673462,Ground beef 73%,False
item_7655,57310640,ground lamb /beef 60/40%,0.8206841945648193,Ground beef 73%,False
item_7580,19251872,ground beef 80% all american 6/10(cangus,0.8070146441459656,Ground beef 73%,False
item_7570,18260073,ground beef 70/30,0.8046064376831055,Ground beef 73%,False
item_7640,19441020,"ground beef, 75% fat 25% lean national",0.7979949116706848,Ground beef 73%,False
item_7587,19111872,ground beef 80% nebraska beef (cangus),0.792888343334198,Ground beef 73%,False
item_7583,19111000,ground beef 80% fine greater omaha (60#,0.7927380800247192,Ground beef 73%,False
item_7643,19134800,"ground beef, 85%, delta sunrise (6/1lb)",0.786889910697937,Ground beef 73%,False
item_981,18104021,beef ground 70-30% pork,0.7859604358673096,Ground beef 73%,False
item_7602,19161000,ground beef 90% fine greater omaha (80#,0.7817975878715515,Ground beef 73%,False
item_7586,19185350,ground beef 80% harris ranch (60#),0.780592679977417,Ground beef 73%,False
item_7660,45210,ground organic beef 85% cl 12#,0.7775024175643921,Ground beef 73%,False
item_999,190020,"beef ground 85%, organic prairie",0.774533748626709,Ground beef 73%,False
item_7641,19111020,"ground beef, 80% coarse grd national",0.7699313759803772,Ground beef 73%,False
