Standardized Product Name,Product Codes,Possible Descriptions
tenderloin / filet,13000600;13101507;13101610;13101505;13111514;13101416;13000411;13101409;13199468;13000415;13101407;13101508;13101106;13101506;13001005,Category with 48 products
carry out container,89041;84080;84452;84700;84092;84710;89011;62750;84241;89021;84890;83730;84790;83890;84091,Category with 55 products
pork hams,34467000;34200049;34868904;SP2441;34207710;34202504;34100144;34310167;34100109;34207709;SP239;34758000;34500009;34900033;SP2382,Category with 35 products
pork variety & misc,13221;1320912S;13209C;132178;1320814;13231;13208885;132215;13208689;13208M;1320820;13209128;1320868;13208N;40409980,Category with 75 products
lamb leg,12205;12174886;12043A;12043A;12174893;12214;12213;12180;1225629;21029980;12102034;12043B;12180;120441;122105,Category with 24 products
beef variety,18001490;18003696;10189980;19313570;19161010;19111000;42760;18001144;42700;19142250;10109980;10391005;18014544;10363750;10394900,Category with 234 products
poultry breast,1704123F;17435PC1;17467PC1;16159Y;17415H;17817006;17049CD;17001049;178179;161913;18040104;17435PC3;1707388;17817006;1703589,Category with 294 products
miscellaneous beef,19320006;19541438;19550006;19990080;19252000;19540000;19009100;19210100;19990085;19008400;19009000;19960012;19510005;19220001;19540025,Category with 66 products
miscellaneous items,42351851;36;48501000;19;13320324;4667;74771000;33714001;99999998;94381613;78881;92807000;75;97456320;97103109,Category with 118 products
canned goods,25430;82370;83190;84481;85310;85290;83240;84470;84370;85450;82310;84372;25420;85110;83860,Category with 42 products
halal,12006;97574;94813;97362;97116;95815;12007;30271;80267;92356;88190;98017;94202;97567;12002,Category with 54 products
pork bacon,35213903;37410401;37880500;37410450;37880513;37410850;37880518;37411000;37412002;37880519;37880110;37880514;37410400;37880523;35213905,Category with 22 products
pork smoked,82021350;82061440;82111350;13138000;82151440;13208S;13208002;82165810;13212S;82051441;13192PK;13334789;82164610;13149;1333798,Category with 55 products
seafood,SP5000;80608000;80601040;80569990;SP512;SP546;SP5094;80704000;80569971;80364100;80772500;SP505;80601090;80314000;80212500,Category with 22 products
supplies,99201;99902;99210;19991;84944;99901;99903;84193;84941;84800;84950;84190;19990;84945;25011,Category with 22 products
misc,994961;990367;99037;96021223;99030;ZVMSVO2;101273;994861;1012582;101259B;99413;PICKUP;995175;99521;99033,Category with 148 products
chicken smoked,59014240;59124240;59029980;59019980;83005810;83009980;83009990,Category with 7 products
move list,80569950;80569970;80245041;22505600;80363900;80162100;80363910,Category with 7 products
seafood variety,78654369;78984369;78144360;78944360;78594360;78399989;78044369;78394360;78391529;78544369;78974369;78994369;78494360;78391869;78644369,Category with 18 products
other fruit,99999939;99999920;99999925;96194690;99999934;99999928;96224690;96024690;99999940;99999919;96084690;99999938;96114690;99999935;99999917,Category with 29 products
beef round,113010001;11121022;1710A23;1710A1I1;10230450;11124544;10225784;10235;1710B2GO;1021AAG1;11121054;11301144;10212582;11121024;11129984,Category with 185 products
seafood octopus,73051106;73145419;73121869;73054736;210598;21061976;21054O99;210540;210599;73031106;73014529;73151869;73155419;73159989;73039986,Category with 44 products
produce,50141032;50130540;50138;50PT13;70174012;50130590;501599;50149;80518E1;50130581;50148;50PT23;805291;50160;50PT51,Category with 157 products
sauce,84571;85680;83291;83780;85760;85750;85740;85790;85690;88080;85770;85700;85780;84920;85660,Category with 18 products
lamb goat,91033510;91039980;91039981;91049980;91032470;91032479;91031420;91059980;91065040;91001530;91029980;91109980;91009980,Category with 13 products
fish,80062;81040;82070;80344;80017;80020;30220;80061;82340;80018;80063;80111;82412;80341;80067,Category with 36 products
beef plate,16043754;16043744;16043352;16041173;16021014;16041175;16041014;16041000;16044575;16043364;16141024;16044574;16044544;16021130;16044662,Category with 70 products
