cluster_id,product_code,description,cluster_size
cluster_44,95022680,(12280609) 8oz Chocolate Bundt Cake (24o,4
cluster_44,95042680,(928064) Triple Chocolate Bundt Cake (28,4
cluster_44,95012680,(303025) Triple Chocolate Mini Crumb Cak,4
cluster_44,95052680,(5260110) Louisiana Crunch Crumb Bundt C,4
cluster_50,83251,*MAESRI* PANANG CURRY PASTE 6/1KG,7
cluster_50,83190,GREEN CURRY PASTE *MAE PLOY*,7
cluster_50,83270,MASSAMAN CURRY PASTE *MAE PLOY*,7
cluster_50,83250,PANANG CURRY PASTE *MAE PLOY*,7
cluster_50,83260,Prik Khing Curry Paste - MAESRI,7
cluster_50,83290,RED CURRY PASTE  *MAE PLOY*,7
cluster_50,83330,YELLOW CURRY PASTE *MAE PLOY*,7
cluster_19,99521,NAPKINS TALLFOLD 1PLY 20CT,7
cluster_19,99533,NAPKINS TALLFOLD MORSOFT,7
cluster_19,99549,NAPKINS TALLFOLD 1PLY 16 500CT,7
cluster_19,99521445,NAPKINS QUICK WHITE 2PLY,7
cluster_19,83440,2PLY 1/8 FOLD DINNER NAPKIN 15X17,7
cluster_19,99521444,NAPKINS DINNER WHITE 2PLY,7
cluster_19,83441,1 PLY 1/4 FOLD DINNER NAPKIN 10000016,7
cluster_98,71810,PRAWNS Head On 6/8      10/2#,4
cluster_98,72810,6-8 Fresh Water PRAWN Head On C-Bay,4
cluster_98,72811,6-8  Fresh Water PRAWN H/O   EACH,4
cluster_98,71510,4-6  Fresh Water Prawn Head On 10/2,4
cluster_409,21070982,FISH POLLOCK-z FILET SKL 4-6 ozIQF,23
cluster_409,80569970,Seafood Catfish Fillets 3/5 oz Frozen,23
cluster_409,70034759,"Catfish, Fillets 3-5 oz, Hook & B (15#)",23
cluster_409,82412,Catfish Fillet 7-9oz Guidry`s,23
cluster_409,SP5081,Seafood Salmon Filet 4oz Frozen,23
cluster_409,70134759,"Catfish, Fillets 9-11 oz, Hook & B (15#)",23
cluster_409,70035809,"Catfish, Fillets 3-5 oz, Happy S. (2/5#)",23
cluster_409,80569950,Seafood Catfish Fillets 3/5 oz Frozen Br,23
cluster_409,80569980,Seafood Catfish Fillets 7/9 oz Frozen,23
cluster_409,70031612,"Catfish, Fillets 3-5 oz, China (15#)",23
cluster_409,78301699,"Pollock, Fillets 2-4oz, 4x10 (40#)",23
cluster_409,80569971,Seafood Polllock Fillets 2/4oz Frozen,23
cluster_409,70054759,"Catfish, Fillets 7-9 oz, Hook & B (15#)",23
cluster_409,82413,Catfish Fillet 3-5oz Guidry`s,23
cluster_409,78909989,"Pollock, Fillets 3-5oz, (20#)",23
cluster_409,82414,Catfish Fillet 5-7oz,23
cluster_409,590663,ORIGIN PACIFIC 2-4OZ POLLOCK-10#,23
cluster_409,70165809,"Catfish, Fillets 5-7 oz, Happy S. (2/5#)",23
cluster_409,207900039,"Pollock, Pacific 2-4oz (10#)",23
cluster_409,80569558,Seafood Catfish Fillets 5/7 oz Frozen,23
cluster_409,80239900,Seafood Pollock Fillets 3/5 oz,23
cluster_409,78319989,"Pollock, Fillets 4-6oz, 4x10 (40#)",23
cluster_409,70059982,"Catfish, Fillets 7-9 oz, China (15#)",23
cluster_71,78003,21/25 PLD Cooked T/Off 5/2#,25
cluster_71,73330,31/40 P&D IQF T/Off  - 10/2# { 20#/case},25
cluster_71,78014,71/90 PLD Cooked T/Off 5/2#,25
cluster_71,72420,31/40 PD COOKED T/Off (5/2#),25
cluster_71,78001,16/20 PLD Cooked T/Off 5/2#,25
cluster_71,78008,41/50 PLD Cooked T/On 5/2#,25
cluster_71,72131,21/25 P&D IQF T/OFF  10X2  {20#/CASE},25
cluster_71,78005,26/30 PLD Cooked T/Off 5/2#,25
cluster_71,71180,31/35   P & D T/OFF   10/4#,25
cluster_71,72320,31/40 P&D T/Off (5/2#)  10#,25
cluster_71,72015,16/20 P&D T/Off Cooked   5/2#,25
cluster_71,72272,41/50 P&D T/OFF  2/10#   (20#/box),25
cluster_71,72632,51/60 P&D T/Off  4/5# 20# case,25
cluster_71,78000,16/20 PLD Cooked T/on 5/2#,25
cluster_71,71550,71/90 P&D T/Off 5/2#,25
cluster_71,74001,21/25 P&D Tail On 10/2#,25
cluster_71,72130,21/25 P& D 10# iqf t/OFF {small box 10#},25
cluster_71,78007,31/40 PLD Cooked T/Off 5/2#,25
