product_code,cluster,cluster_id,probability,product_description,brand,size
920240,0,cluster_0,1.0,fathers day feature,fathers,
920242,0,cluster_0,1.0,fathers day feature delux,fathers,
920223,0,cluster_0,1.0,mother day feature 1,mother,
920224,0,cluster_0,1.0,mothers day feature #2,mothers,
920225,0,cluster_0,1.0,mothers day feature #3,mothers,
50120136,30,cluster_30,0.9555172233149949,bananas 24ct green,bananas,24ct
50133,30,cluster_30,0.9687717043138083,lettuce iceburg cello 24 ct,lettuce,24 ct
50133109,30,cluster_30,0.9755701723868688,celery 30ct,celery,30ct
50120145,30,cluster_30,0.9555172233149949,bananas green plaintain 40#,bananas,
50134291,30,cluster_30,1.0,lettuce iceburg liner premium 12ct,lettuce,12ct
1012583,60,cluster_60,0.8267507092373998,cont foam tray white 2/200ct 8p,cont,200ct
1012585,60,cluster_60,0.8369117600996249,cont foam tray white 400ct 2p,cont,400ct
1012582,60,cluster_60,1.0,cont foam tray white 500ct 4pr,cont,500ct
1012595,60,cluster_60,1.0,cont foam tray white 400ct 4phd,cont,400ct
1012591,60,cluster_60,1.0,cont foam tray white 500ct 4p,cont,500ct
12001B,90,cluster_90,1.0,goat whl-6way -cut 1.5 in,goat,
30520,90,cluster_90,1.0,goat - 6 way cut skinless 40#ave.,goat,
430151,90,cluster_90,1.0,goat leg cut 1.5in cubes,goat,
430156,90,cluster_90,1.0,6way goat cut 1.5in bonein,6way,
30521,90,cluster_90,0.971345478189359,goat skin-on cut 6way *ryan* iw,goat,
99999928,120,cluster_120,0.9577250901798612,"fruit, pulp soursop twinpk, chiq 12x2/7z","fruit,",
96064690,120,cluster_120,0.8684358137780335,"fruit, pulp guava twinpk, chiq (12x2/7z)","fruit,",
99999917,120,cluster_120,0.8457292799816712,"fruit, pulp papaya twinpk, chiq 12x2/7z","fruit,",
99999920,120,cluster_120,1.0,"fruit, pulp blkby twinpk, chiq (12x2/7z)","fruit,",
96114690,120,cluster_120,1.0,"fruit, pulp tamarnd twinpk, chiq 12x2/7z","fruit,",
19560111,150,cluster_150,1.0,duck leg bi cul ret 12/16-oz,duck,
19558,150,cluster_150,1.0,duck leg bi mlf 36/8-oz 18#,duck,
42280711,150,cluster_150,1.0,duck leg confit b/out 20 lb/cs bnls,duck,20 lb
