cluster,cluster_id,size,percentage
-1,unclustered,7567,0.5120795831359545
0,cluster_0,5,0.0003383636732760371
1,cluster_1,7,0.0004737091425864519
2,cluster_2,13,0.0008797455505176965
3,cluster_3,5,0.0003383636732760371
4,cluster_4,8,0.0005413818772416594
5,cluster_5,5,0.0003383636732760371
6,cluster_6,26,0.001759491101035393
7,cluster_7,6,0.0004060364079312445
8,cluster_8,5,0.0003383636732760371
9,cluster_9,5,0.0003383636732760371
10,cluster_10,5,0.0003383636732760371
11,cluster_11,8,0.0005413818772416594
12,cluster_12,9,0.0006090546118968668
13,cluster_13,5,0.0003383636732760371
14,cluster_14,7,0.0004737091425864519
15,cluster_15,5,0.0003383636732760371
16,cluster_16,8,0.0005413818772416594
17,cluster_17,8,0.0005413818772416594
18,cluster_18,9,0.0006090546118968668
19,cluster_19,10,0.0006767273465520742
20,cluster_20,5,0.0003383636732760371
21,cluster_21,6,0.0004060364079312445
22,cluster_22,12,0.000812072815862489
23,cluster_23,12,0.000812072815862489
24,cluster_24,8,0.0005413818772416594
25,cluster_25,5,0.0003383636732760371
26,cluster_26,17,0.001150436489138526
27,cluster_27,7,0.0004737091425864519
28,cluster_28,9,0.0006090546118968668
29,cluster_29,12,0.000812072815862489
30,cluster_30,22,0.0014888001624145631
31,cluster_31,5,0.0003383636732760371
32,cluster_32,8,0.0005413818772416594
33,cluster_33,9,0.0006090546118968668
34,cluster_34,10,0.0006767273465520742
35,cluster_35,7,0.0004737091425864519
36,cluster_36,19,0.0012857819584489408
37,cluster_37,5,0.0003383636732760371
38,cluster_38,6,0.0004060364079312445
39,cluster_39,6,0.0004060364079312445
40,cluster_40,6,0.0004060364079312445
41,cluster_41,8,0.0005413818772416594
42,cluster_42,6,0.0004060364079312445
43,cluster_43,12,0.000812072815862489
44,cluster_44,6,0.0004060364079312445
45,cluster_45,12,0.000812072815862489
46,cluster_46,7,0.0004737091425864519
47,cluster_47,17,0.001150436489138526
48,cluster_48,7,0.0004737091425864519
49,cluster_49,11,0.0007444000812072816
50,cluster_50,9,0.0006090546118968668
51,cluster_51,9,0.0006090546118968668
52,cluster_52,5,0.0003383636732760371
53,cluster_53,6,0.0004060364079312445
54,cluster_54,5,0.0003383636732760371
55,cluster_55,6,0.0004060364079312445
56,cluster_56,8,0.0005413818772416594
57,cluster_57,7,0.0004737091425864519
58,cluster_58,7,0.0004737091425864519
59,cluster_59,5,0.0003383636732760371
60,cluster_60,7,0.0004737091425864519
61,cluster_61,17,0.001150436489138526
62,cluster_62,11,0.0007444000812072816
63,cluster_63,15,0.0010150910198281112
64,cluster_64,7,0.0004737091425864519
65,cluster_65,5,0.0003383636732760371
66,cluster_66,6,0.0004060364079312445
67,cluster_67,42,0.0028422548555187117
68,cluster_68,5,0.0003383636732760371
69,cluster_69,6,0.0004060364079312445
70,cluster_70,5,0.0003383636732760371
71,cluster_71,36,0.002436218447587467
72,cluster_72,5,0.0003383636732760371
73,cluster_73,6,0.0004060364079312445
74,cluster_74,12,0.000812072815862489
75,cluster_75,12,0.000812072815862489
76,cluster_76,12,0.000812072815862489
77,cluster_77,8,0.0005413818772416594
78,cluster_78,5,0.0003383636732760371
79,cluster_79,18,0.0012181092237937335
80,cluster_80,5,0.0003383636732760371
81,cluster_81,7,0.0004737091425864519
