product_code,cluster,cluster_id,probability,product_description
100,0,cluster_0,0.950133086409685,processing fee
123456,0,cluster_0,0.9569477017799974,test product
190999,0,cluster_0,0.950133086409685,freight fee
SAMPLES,0,cluster_0,1.0,vendor samples
12345677,0,cluster_0,1.0,sample not for sale
62323,30,cluster_30,1.0,cali squid 12x3
78131529,30,cluster_30,1.0,"giant squid rings (wild caught), (10/1#)"
62231,30,cluster_30,1.0,jumbo squid - 600 up (36#) taiwan
94283,60,cluster_60,1.0,oregano dry leaf 1#
94282,60,cluster_60,1.0,oregano dry whole bulk 5#
85611,60,cluster_60,1.0,oregano powder bag 5#
22080177,60,cluster_60,0.9202587771002289,oregano whl me 5# bx
52264100,90,cluster_90,0.9035478775753388,"wog 2-3/4, 24hd, golden rod"
52094100,90,cluster_90,0.8361487464231536,"wog 2.5/up, golden rod"
52009980,90,cluster_90,1.0,"wog 3.5/up, 20hd golden rod"
52104100,90,cluster_90,1.0,"wog 3/up, 22hd, golden rod"
52174100,90,cluster_90,1.0,"wog 4/up, 18hd cvp, golden rod"
4002699,120,cluster_120,1.0,chs amer white loaf thm 6/5#
4002700,120,cluster_120,1.0,chs amer yellow loaf thm 6/5#
40182,120,cluster_120,1.0,chs ched mild loaf yel 4/5# wisc
40445346,120,cluster_120,0.9597450730466306,chs quesadilla loaf chihu v&v 8/5#
40445344,120,cluster_120,0.9185682634627325,chs quesadilla shred chihu v&v 4/5#
88782,150,cluster_150,1.0,9828b 2 cmpt. black.container 32oz
88680,150,cluster_150,1.0,black plastic container 6x9 28 oz
87230,150,cluster_150,0.9796618416931355,plastic container hs-24 round
88781,150,cluster_150,1.0,plastic white container kk 78-30
83890,150,cluster_150,1.0,sr327 square plastic container 32oz
72360,180,cluster_180,1.0,31/35 p&d t/off 6/4# (24#/case)
72420,180,cluster_180,1.0,31/40 pd cooked t/off (5/2#)
70160,180,cluster_180,0.8526826240488576,41/50 pnd 10/5#
78008,180,cluster_180,1.0,41/50 pld cooked t/on 5/2#
72131,180,cluster_180,1.0,21/25 p&d iqf t/off 10x2 {20#/case}
90280016,210,cluster_210,0.5225288862023326,tortilla corn yel 6 popo
9028006,210,cluster_210,1.0,tortilla flour wht 6 popo
90282014,210,cluster_210,0.5323108068223575,tortilla chip wht whl 6 popo
94164860,210,cluster_210,0.6662900496217656,"tortilla, flour 6"", popo 36/10ct"
9028014,210,cluster_210,1.0,tortilla flour wht 12 popo
30222,240,cluster_240,0.9281380462122133,swai (basa) fillet 11/13 corner 17
30220,240,cluster_240,1.0,swai fillet 3-5
71207,240,cluster_240,1.0,swai fillets 12/1#
30221,240,cluster_240,0.9560827027447353,swai fillet 7-9 mekong
79085829,240,cluster_240,1.0,"swai fillet, skls sea best (12/1#)"
85230,270,cluster_270,1.0,cheese crema centro americano 1/32#
85101,270,cluster_270,1.0,cheese crema mexicna 1/32#
85201,270,cluster_270,1.0,cheese crema mexicna con sal. 1/32#
50140219,300,cluster_300,0.9284599322394402,pepper bel green choice 20#
50140210,300,cluster_300,1.0,pepper bel green med 5#
50140216,300,cluster_300,0.86743707679724,pepper bel red xlg 20#
50140213,300,cluster_300,1.0,pepper bel green xlrg 20#
50140214,300,cluster_300,1.0,pepper bel red med 5#
70872,330,cluster_330,0.8908143186865184,20# scallop 10/20 - block 20# case
61000,330,cluster_330,1.0,scallop 20/30 - <case> 50# block
61002,330,cluster_330,0.8024696843239932,scallop 20/30 case [block] 20# 4x5
61020,330,cluster_330,1.0,scallop 30/40 - block (case) 50#
61022,330,cluster_330,1.0,scallop 30/40 [block] 20# case 4x5
1832712,360,cluster_360,1.0,cornedbf ckd thm-brisk1st 5#
22059465,360,cluster_360,1.0,cornedbf ckd oco brisk-slcd 10/3#
1832712Z,360,cluster_360,1.0,cornedbf ckd-z thm-brisk1st 2/5#
220612,360,cluster_360,1.0,cornedbf ckd-z v018471 brisk 5/4#
220606,360,cluster_360,0.9069343286405868,cornedbf ckd syg brisk deli 2-3/24#
11191001,390,cluster_390,0.891214687429963,"inside round xt, greateromaha (prime)"
11191162,390,cluster_390,0.987753506175059,"inside round xt, iowa premium (cangus)"
11191014,390,cluster_390,0.9490637694678441,inside round cosmo ibp (ch)
11191141,390,cluster_390,0.8624448010401422,"inside round xt, westernreserve (prime)"
11191873,390,cluster_390,1.0,"inside round xt, halal nebraska (ch_ang)"
12004,420,cluster_420,1.0,halal bnls sknls thigh meat koch foods
10825,420,cluster_420,0.8933855681582473,halal chicken drumsticks cvp
12007,420,cluster_420,0.9089517627540473,halal whole wings koch foods
12003,420,cluster_420,0.978187652672987,halal chicken tenders koch foods
12006,420,cluster_420,1.0,halal jumbo leg quarters koch foods
10074944,450,cluster_450,1.0,bf clod top blade ch *__
10075024,450,cluster_450,1.0,bf clod top blade ch nat
10075015,450,cluster_450,1.0,bf clod top blade ch oma
20502030,480,cluster_480,1.0,chicken fryer wog (2 .50-2.75#
20005030,480,cluster_480,1.0,chicken fryer wog (2.50-2.75)
20592020,480,cluster_480,1.0,chicken fryer wog (2.50-2.75)#
29204000,510,cluster_510,1.0,chicken breast bones 40 lb cs
24005030,510,cluster_510,1.0,chicken leg jumbo 40lb/cs
