cluster,cluster_id,size,percentage
-1,unclustered,5828,0.39439669757054885
0,cluster_0,8,0.0005413818772416594
1,cluster_1,6,0.0004060364079312445
2,cluster_2,3,0.00020301820396562224
3,cluster_3,3,0.00020301820396562224
4,cluster_4,3,0.00020301820396562224
5,cluster_5,3,0.00020301820396562224
6,cluster_6,3,0.00020301820396562224
7,cluster_7,3,0.00020301820396562224
8,cluster_8,3,0.00020301820396562224
9,cluster_9,4,0.0002706909386208297
10,cluster_10,5,0.0003383636732760371
11,cluster_11,5,0.0003383636732760371
12,cluster_12,5,0.0003383636732760371
13,cluster_13,3,0.00020301820396562224
14,cluster_14,10,0.0006767273465520742
15,cluster_15,5,0.0003383636732760371
16,cluster_16,25,0.0016918183663801854
17,cluster_17,3,0.00020301820396562224
18,cluster_18,3,0.00020301820396562224
19,cluster_19,6,0.0004060364079312445
20,cluster_20,5,0.0003383636732760371
21,cluster_21,4,0.0002706909386208297
22,cluster_22,3,0.00020301820396562224
23,cluster_23,3,0.00020301820396562224
24,cluster_24,5,0.0003383636732760371
25,cluster_25,4,0.0002706909386208297
26,cluster_26,5,0.0003383636732760371
27,cluster_27,3,0.00020301820396562224
28,cluster_28,4,0.0002706909386208297
29,cluster_29,3,0.00020301820396562224
30,cluster_30,3,0.00020301820396562224
31,cluster_31,3,0.00020301820396562224
32,cluster_32,4,0.0002706909386208297
33,cluster_33,3,0.00020301820396562224
34,cluster_34,3,0.00020301820396562224
35,cluster_35,4,0.0002706909386208297
36,cluster_36,3,0.00020301820396562224
37,cluster_37,3,0.00020301820396562224
38,cluster_38,3,0.00020301820396562224
39,cluster_39,3,0.00020301820396562224
40,cluster_40,4,0.0002706909386208297
41,cluster_41,3,0.00020301820396562224
42,cluster_42,8,0.0005413818772416594
43,cluster_43,4,0.0002706909386208297
44,cluster_44,6,0.0004060364079312445
45,cluster_45,3,0.00020301820396562224
46,cluster_46,5,0.0003383636732760371
47,cluster_47,3,0.00020301820396562224
48,cluster_48,5,0.0003383636732760371
49,cluster_49,5,0.0003383636732760371
50,cluster_50,4,0.0002706909386208297
51,cluster_51,4,0.0002706909386208297
52,cluster_52,3,0.00020301820396562224
53,cluster_53,4,0.0002706909386208297
54,cluster_54,5,0.0003383636732760371
55,cluster_55,4,0.0002706909386208297
56,cluster_56,5,0.0003383636732760371
57,cluster_57,3,0.00020301820396562224
58,cluster_58,5,0.0003383636732760371
59,cluster_59,10,0.0006767273465520742
60,cluster_60,4,0.0002706909386208297
61,cluster_61,3,0.00020301820396562224
62,cluster_62,8,0.0005413818772416594
63,cluster_63,4,0.0002706909386208297
64,cluster_64,6,0.0004060364079312445
65,cluster_65,3,0.00020301820396562224
66,cluster_66,10,0.0006767273465520742
67,cluster_67,6,0.0004060364079312445
68,cluster_68,3,0.00020301820396562224
69,cluster_69,13,0.0008797455505176965
70,cluster_70,3,0.00020301820396562224
71,cluster_71,6,0.0004060364079312445
72,cluster_72,4,0.0002706909386208297
73,cluster_73,4,0.0002706909386208297
74,cluster_74,8,0.0005413818772416594
75,cluster_75,5,0.0003383636732760371
76,cluster_76,3,0.00020301820396562224
77,cluster_77,3,0.00020301820396562224
78,cluster_78,3,0.00020301820396562224
79,cluster_79,13,0.0008797455505176965
80,cluster_80,4,0.0002706909386208297
81,cluster_81,3,0.00020301820396562224
82,cluster_82,4,0.0002706909386208297
83,cluster_83,3,0.00020301820396562224
84,cluster_84,3,0.00020301820396562224
85,cluster_85,4,0.0002706909386208297
86,cluster_86,6,0.0004060364079312445
87,cluster_87,3,0.00020301820396562224
88,cluster_88,3,0.00020301820396562224
89,cluster_89,11,0.0007444000812072816
90,cluster_90,5,0.0003383636732760371
91,cluster_91,4,0.0002706909386208297
