product_code,cluster,cluster_id
920207,-1,noise
184001,-1,noise
89042,-1,noise
95052680,-1,noise
31311,-1,noise
62720,-1,noise
18130181,-1,noise
20480,-1,noise
454050,-1,noise
41,-1,noise
250366,-1,noise
73820,-1,noise
72820,-1,noise
72830,-1,noise
531620,-1,noise
72010,-1,noise
72012,-1,noise
72013,-1,noise
45,-1,noise
84091,-1,noise
520023,-1,noise
620056,-1,noise
72130,-1,noise
70300,-1,noise
70020,-1,noise
1220,-1,noise
84410,-1,noise
56,-1,noise
532630,-1,noise
71050,-1,noise
71910,-1,noise
620032,-1,noise
40,-1,noise
72081,-1,noise
72321,-1,noise
72322,-1,noise
72330,-1,noise
310130,-1,noise
620033,-1,noise
620061,-1,noise
620662,-1,noise
620164,-1,noise
620059,-1,noise
99995,-1,noise
72272,-1,noise
85440,-1,noise
590034,-1,noise
190444,-1,noise
22177240,-1,noise
19990550,-1,noise
180034,-1,noise
72630,-1,noise
72150,-1,noise
720008,-1,noise
70760,-1,noise
70830,-1,noise
450083,-1,noise
52301220,-1,noise
399810,-1,noise
83090,-1,noise
83470,-1,noise
451047,-1,noise
70560,-1,noise
620034,-1,noise
96041,-1,noise
ADJ,-1,noise
94084730,-1,noise
900076,-1,noise
55663,-1,noise
83370,-1,noise
740888,-1,noise
81010,-1,noise
920266,-1,noise
6,-1,noise
96622900,-1,noise
84243,-1,noise
86700,-1,noise
310140,-1,noise
190303,-1,noise
190313,-1,noise
31010,-1,noise
83990,-1,noise
720115,-1,noise
610001,-1,noise
50140201,-1,noise
96404740,-1,noise
80019,-1,noise
13159984,-1,noise
190067,-1,noise
620941,-1,noise
50130570,-1,noise
50130599,-1,noise
440150,-1,noise
620148,-1,noise
620169,-1,noise
44525240,-1,noise
44622090,-1,noise
84650,-1,noise
280140,-1,noise
250125,-1,noise
44341150,-1,noise
44341570,-1,noise
44343630,-1,noise
44341980,-1,noise
44341060,-1,noise
17201176,-1,noise
50003390,-1,noise
13852,-1,noise
13853,-1,noise
290266,-1,noise
94219,-1,noise
94741,-1,noise
134325,-1,noise
13860154,-1,noise
290242,-1,noise
290650,-1,noise
138PB351,-1,noise
290226,-1,noise
290256,-1,noise
290265,-1,noise
236483,-1,noise
37880129,-1,noise
13802014,-1,noise
235223,-1,noise
290234,-1,noise
290235,-1,noise
920234,-1,noise
138309,-1,noise
138325,-1,noise
13830483,-1,noise
13834,-1,noise
138027,-1,noise
13810,-1,noise
1387430,-1,noise
290253,-1,noise
18064765,-1,noise
1387482,-1,noise
37880503,-1,noise
292171,-1,noise
13832015,-1,noise
14006,-1,noise
37999101,-1,noise
37215268,-1,noise
82739990,-1,noise
290254,-1,noise
37181340,-1,noise
13955008,-1,noise
13857A,-1,noise
14005,-1,noise
1302222,-1,noise
13750D,-1,noise
99492B,-1,noise
99492W,-1,noise
99491W,-1,noise
18416356,-1,noise
146020,-1,noise
15191002,-1,noise
15193354,-1,noise
82380,-1,noise
909091,-1,noise
620071,-1,noise
84460,-1,noise
901091,-1,noise
85070,-1,noise
900094,-1,noise
83312,-1,noise
94109,-1,noise
718753,-1,noise
610002,-1,noise
31151,-1,noise
97215600,-1,noise
50120152,-1,noise
90305,-1,noise
42100,-1,noise
190038,-1,noise
SP1314,-1,noise
SP1321,-1,noise
49030,-1,noise
49030,-1,noise
12941000,-1,noise
12940000,-1,noise
44003,-1,noise
43340,-1,noise
190037,-1,noise
34094,-1,noise
40380,-1,noise
12410406,-1,noise
41580,-1,noise
42920,-1,noise
180015,-1,noise
15441,-1,noise
42900,-1,noise
180013,-1,noise
30371,-1,noise
43331,-1,noise
15000500,-1,noise
15000590,-1,noise
15000910,-1,noise
15000400,-1,noise
10171072,-1,noise
41770,-1,noise
118003,-1,noise
18200301,-1,noise
18100808,-1,noise
18134610,-1,noise
19202000,-1,noise
190602,-1,noise
90150,-1,noise
190310,-1,noise
190010,-1,noise
19009400,-1,noise
19204004,-1,noise
19010001,-1,noise
11100500,-1,noise
11110401,-1,noise
190861,-1,noise
11910000,-1,noise
11200010,-1,noise
11399000,-1,noise
11200500,-1,noise
11310510,-1,noise
11311414,-1,noise
11310422,-1,noise
11321000,-1,noise
11321440,-1,noise
41500,-1,noise
30332,-1,noise
48501,-1,noise
11600400,-1,noise
11500404,-1,noise
11300408,-1,noise
11401009,-1,noise
42610,-1,noise
15124335,-1,noise
15110101,-1,noise
44215,-1,noise
12000412,-1,noise
190035,-1,noise
