cluster,cluster_id,size,percentage
-1,unclustered,319,0.638
0,cluster_0,3,0.006
1,cluster_1,3,0.006
2,cluster_2,3,0.006
3,cluster_3,3,0.006
4,cluster_4,3,0.006
5,cluster_5,12,0.024
6,cluster_6,6,0.012
7,cluster_7,3,0.006
8,cluster_8,4,0.008
9,cluster_9,5,0.01
10,cluster_10,8,0.016
11,cluster_11,6,0.012
12,cluster_12,3,0.006
13,cluster_13,4,0.008
14,cluster_14,5,0.01
15,cluster_15,5,0.01
16,cluster_16,7,0.014
17,cluster_17,3,0.006
18,cluster_18,6,0.012
19,cluster_19,7,0.014
20,cluster_20,4,0.008
21,cluster_21,8,0.016
22,cluster_22,7,0.014
23,cluster_23,4,0.008
24,cluster_24,4,0.008
25,cluster_25,7,0.014
26,cluster_26,5,0.01
27,cluster_27,6,0.012
28,cluster_28,3,0.006
29,cluster_29,8,0.016
30,cluster_30,5,0.01
31,cluster_31,21,0.042
