product_id,price,cost,description
89103,10.99,6.59,#3 tray white
88144,9.99,5.89,#4d tray foam 9x7x1.75 500ct
89021,10.49,6.29,#2 tray ps white 8.25x5.75x1 75001429
95012680,8.99,4.59,Triple chocolate mini crumb cake
95022680,8.99,4.39,Chocolate bundt cake 24oz
95042680,9.49,4.79,Triple chocolate bundt cake 28oz
95052680,8.49,4.99,Louisiana crunch crumb bundt cake
83323,15.99,9.99,Bay Leaf Small 
83321,14.99,9.49,Bay Leaf Large
53154,12.99,7.79,Pallet wrap
99216600,12.49,7.49,Pallet wrapping supplies
PALLETS,35.99,28.79,Standard pallet
53151,13.49,7.99,Pallet stretch wrap
83191,4.99,1.99,Fennel seed small
83251,4.99,1.79,Cumin seed small
83291,4.99,2.29,Coriander seed small
13800500,24.99,17.99,Beef loin ball tip choice
13800603,22.99,18.79,Beef loin ball tip select
16330000,25.99,16.79,Beef Outside Skirt Choice
16300514,26.99,17.59,Beef Outside Skirt Select 14oz
16310033,25.49,16.29,Beef plate short ribs choice denuted
16300038,27.99,15.89,Beef Outside Skirt Select 8oz
16310300,24.99,17.99,Beef plate short ribs cut 3"
16300000,26.49,16.99,Beef Outside Skirt
16310003,25.99,18.99,Beef plate short ribs
