product_code,cluster,cluster_id
89103,141,refined_cluster_cluster_141
88144,141,refined_cluster_cluster_141
89021,141,refined_cluster_cluster_141
95012680,49,refined_cluster_cluster_49
95022680,49,refined_cluster_cluster_49
95042680,49,refined_cluster_cluster_49
95052680,49,refined_cluster_cluster_49
83323,127,refined_cluster_cluster_127
83321,127,refined_cluster_cluster_127
53154,14,refined_cluster_cluster_14
99216600,14,refined_cluster_cluster_14
PALLETS,14,refined_cluster_cluster_14
53151,14,refined_cluster_cluster_14
83191,165,refined_cluster_cluster_165
83251,165,refined_cluster_cluster_165
83291,165,refined_cluster_cluster_165
13800500,9,refined_cluster_cluster_9
22654601,9,refined_cluster_cluster_9
99521,67,refined_cluster_cluster_67
99549,67,refined_cluster_cluster_67
99533,67,refined_cluster_cluster_67
83440,67,refined_cluster_cluster_67
83441,67,refined_cluster_cluster_67
99521445,67,refined_cluster_cluster_67
72790,546,refined_cluster_cluster_546
72800,546,refined_cluster_cluster_546
71510,546,refined_cluster_cluster_546
72811,546,refined_cluster_cluster_546
72810,546,refined_cluster_cluster_546
71810,546,refined_cluster_cluster_546
78016,192,refined_cluster_cluster_192
72015,192,refined_cluster_cluster_192
78001,192,refined_cluster_cluster_192
78000,192,refined_cluster_cluster_192
78003,192,refined_cluster_cluster_192
78002,192,refined_cluster_cluster_192
72420,192,refined_cluster_cluster_192
78007,192,refined_cluster_cluster_192
78006,192,refined_cluster_cluster_192
78009,192,refined_cluster_cluster_192
78008,192,refined_cluster_cluster_192
420110,1254,refined_cluster_cluster_1254
420050,1254,refined_cluster_cluster_1254
420060,1254,refined_cluster_cluster_1254
420070,1254,refined_cluster_cluster_1254
420080,1254,refined_cluster_cluster_1254
620054,1224,refined_cluster_cluster_1224
620064,1224,refined_cluster_cluster_1224
620065,1224,refined_cluster_cluster_1224
620067,1224,refined_cluster_cluster_1224
620068,1224,refined_cluster_cluster_1224
71570,161,refined_cluster_cluster_161
72550,161,refined_cluster_cluster_161
72571,161,refined_cluster_cluster_161
620120,486,refined_cluster_cluster_486
361160,486,refined_cluster_cluster_486
361100,486,refined_cluster_cluster_486
361140,486,refined_cluster_cluster_486
115,100,refined_cluster_cluster_100
994892,100,refined_cluster_cluster_100
994881,100,refined_cluster_cluster_100
121,100,refined_cluster_cluster_100
110,100,refined_cluster_cluster_100
57,98,refined_cluster_cluster_98
52,98,refined_cluster_cluster_98
54,98,refined_cluster_cluster_98
48,98,refined_cluster_cluster_98
70130,256,refined_cluster_cluster_256
70890,256,refined_cluster_cluster_256
70060,256,refined_cluster_cluster_256
71900,256,refined_cluster_cluster_256
71051,256,refined_cluster_cluster_256
70380,256,refined_cluster_cluster_256
70340,256,refined_cluster_cluster_256
72390,256,refined_cluster_cluster_256
72850,256,refined_cluster_cluster_256
70250,256,refined_cluster_cluster_256
70301,256,refined_cluster_cluster_256
410066,1245,refined_cluster_cluster_1245
410140,1245,refined_cluster_cluster_1245
410056,1245,refined_cluster_cluster_1245
410057,1245,refined_cluster_cluster_1245
410157,1245,refined_cluster_cluster_1245
62446040,1245,refined_cluster_cluster_1245
62446160,1245,refined_cluster_cluster_1245
62420050,1245,refined_cluster_cluster_1245
62418050,1245,refined_cluster_cluster_1245
144146,194,refined_cluster_cluster_194
144142,194,refined_cluster_cluster_194
143005,194,refined_cluster_cluster_194
